ISO_Currency;PeriodName;RateDate;Bid;Ask;Rate;;;;;;;;;
NOK;Spot;11-apr-12;;;5.78;20120411;;;;;;;;
NOK;1W;11-apr-12;;;1.75000;20120411;;;;;;;;
NOK;1M;11-apr-12;;;1.73000;20120411;;;;;;;;
NOK;3M;11-apr-12;;;1.88000;20120411;;;;;;;;
NOK;6M;11-apr-12;;;2.04000;20120411;;;;;;;;
NOK;9M;11-apr-12;;;2.24000;20120411;;;;;;;;
NOK;1Y;11-apr-12;;;2.34000;20120411;;;;;;;;
NOK;2Y;11-apr-12;;;2.80000;20120411;;;;;;;;
NOK;3Y;11-apr-12;;;2.86000;20120411;;;;;;;;
NOK;4Y;11-apr-12;;;2.97000;20120411;;;;;;;;
NOK;5Y;11-apr-12;;;3.11000;20120411;;;;;;;;
NOK;7Y;11-apr-12;;;3.34000;20120411;;;;;;;;
NOK;10Y;11-apr-12;;;3.54000;20120411;;;;;;;;
NOK;Spot;12-apr-12;;;5.79420;20120412;;;;;;;;
NOK;1W;12-apr-12;;;1.75000;20120412;;;;;;;;
NOK;1M;12-apr-12;;;1.73000;20120412;;;;;;;;
NOK;3M;12-apr-12;;;1.88000;20120412;;;;;;;;
NOK;6M;12-apr-12;;;2.04000;20120412;;;;;;;;
NOK;9M;12-apr-12;;;2.24000;20120412;;;;;;;;
NOK;1Y;12-apr-12;;;2.34000;20120412;;;;;;;;
NOK;2Y;12-apr-12;;;2.80000;20120412;;;;;;;;
NOK;3Y;12-apr-12;;;2.86000;20120412;;;;;;;;
NOK;4Y;12-apr-12;;;2.97000;20120412;;;;;;;;
NOK;5Y;12-apr-12;;;3.11000;20120412;;;;;;;;
NOK;7Y;12-apr-12;;;3.34000;20120412;;;;;;;;
NOK;10Y;12-apr-12;;;3.54000;20120412;;;;;;;;
SEK;Spot;11-apr-12;;;6.77950;20120411;;;;;;;;
SEK;1W;11-apr-12;;;1.58000;20120411;;;;;;;;
SEK;1M;11-apr-12;;;1.64000;20120411;;;;;;;;
SEK;3M;11-apr-12;;;1.74000;20120411;;;;;;;;
SEK;6M;11-apr-12;;;1.85000;20120411;;;;;;;;
SEK;9M;11-apr-12;;;1.95000;20120411;;;;;;;;
SEK;1Y;11-apr-12;;;2.08000;20120411;;;;;;;;
SEK;2Y;11-apr-12;;;4.20000;20120411;;;;;;;;
SEK;3Y;11-apr-12;;;4.75000;20120411;;;;;;;;
SEK;4Y;11-apr-12;;;5.05000;20120411;;;;;;;;
SEK;5Y;11-apr-12;;;5.51000;20120411;;;;;;;;
SEK;7Y;11-apr-12;;;5.51000;20120411;;;;;;;;
SEK;10Y;11-apr-12;;;5.51000;20120411;;;;;;;;
SEK;Spot;12-apr-12;;;6.77950;20120412;;;;;;;;
SEK;1W;12-apr-12;;;1.58000;20120412;;;;;;;;
SEK;1M;12-apr-12;;;1.64000;20120412;;;;;;;;
SEK;3M;12-apr-12;;;1.74000;20120412;;;;;;;;
SEK;6M;12-apr-12;;;1.85000;20120412;;;;;;;;
SEK;9M;12-apr-12;;;1.95000;20120412;;;;;;;;
SEK;1Y;12-apr-12;;;2.08000;20120412;;;;;;;;
SEK;2Y;12-apr-12;;;4.20000;20120412;;;;;;;;
SEK;3Y;12-apr-12;;;4.75000;20120412;;;;;;;;
SEK;4Y;12-apr-12;;;5.05000;20120412;;;;;;;;
SEK;5Y;12-apr-12;;;5.51000;20120412;;;;;;;;
SEK;7Y;12-apr-12;;;5.51000;20120412;;;;;;;;
SEK;10Y;12-apr-12;;;5.51000;20120412;;;;;;;;
DKK;Spot;11-apr-12;;;5.66155;20120411;;;;;;;;
DKK;1W;11-apr-12;;;0.23000;20120411;;;;;;;;
DKK;1M;11-apr-12;;;0.35000;20120411;;;;;;;;
DKK;3M;11-apr-12;;;0.85000;20120411;;;;;;;;
DKK;6M;11-apr-12;;;1.14000;20120411;;;;;;;;
DKK;9M;11-apr-12;;;1.30000;20120411;;;;;;;;
DKK;1Y;11-apr-12;;;1.48000;20120411;;;;;;;;
DKK;2Y;11-apr-12;;;2.33000;20120411;;;;;;;;
DKK;3Y;11-apr-12;;;2.97000;20120411;;;;;;;;
DKK;4Y;11-apr-12;;;3.45000;20120411;;;;;;;;
DKK;5Y;11-apr-12;;;4.02000;20120411;;;;;;;;
DKK;7Y;11-apr-12;;;4.02000;20120411;;;;;;;;
DKK;10Y;11-apr-12;;;4.02000;20120411;;;;;;;;
DKK;Spot;12-apr-12;;;5.66155;20120412;;;;;;;;
DKK;1W;12-apr-12;;;0.23000;20120412;;;;;;;;
DKK;1M;12-apr-12;;;0.35000;20120412;;;;;;;;
DKK;3M;12-apr-12;;;0.85000;20120412;;;;;;;;
DKK;6M;12-apr-12;;;1.14000;20120412;;;;;;;;
DKK;9M;12-apr-12;;;1.30000;20120412;;;;;;;;
DKK;1Y;12-apr-12;;;1.48000;20120412;;;;;;;;
DKK;2Y;12-apr-12;;;2.33000;20120412;;;;;;;;
DKK;3Y;12-apr-12;;;2.97000;20120412;;;;;;;;
DKK;4Y;12-apr-12;;;3.45000;20120412;;;;;;;;
DKK;5Y;12-apr-12;;;4.02000;20120412;;;;;;;;
DKK;7Y;12-apr-12;;;4.02000;20120412;;;;;;;;
DKK;10Y;12-apr-12;;;4.02000;20120412;;;;;;;;
EUR;Spot;11-apr-12;;;1.31385;20120411;;;;;;;;
EUR;1W;11-apr-12;;;0.25000;20120411;;;;;;;;
EUR;1M;11-apr-12;;;0.43000;20120411;;;;;;;;
EUR;3M;11-apr-12;;;0.98000;20120411;;;;;;;;
EUR;6M;11-apr-12;;;1.23000;20120411;;;;;;;;
EUR;9M;11-apr-12;;;1.43000;20120411;;;;;;;;
EUR;1Y;11-apr-12;;;1.58000;20120411;;;;;;;;
EUR;2Y;11-apr-12;;;2.47000;20120411;;;;;;;;
EUR;3Y;11-apr-12;;;3.06000;20120411;;;;;;;;
EUR;4Y;11-apr-12;;;3.53000;20120411;;;;;;;;
EUR;5Y;11-apr-12;;;4.08000;20120411;;;;;;;;
EUR;7Y;11-apr-12;;;4.08000;20120411;;;;;;;;
EUR;10Y;11-apr-12;;;4.08000;20120411;;;;;;;;
EUR;Spot;12-apr-12;;;1.31385;20120412;;;;;;;;
EUR;1W;12-apr-12;;;0.25000;20120412;;;;;;;;
EUR;1M;12-apr-12;;;0.43000;20120412;;;;;;;;
EUR;3M;12-apr-12;;;0.98000;20120412;;;;;;;;
EUR;6M;12-apr-12;;;1.23000;20120412;;;;;;;;
EUR;9M;12-apr-12;;;1.43000;20120412;;;;;;;;
EUR;1Y;12-apr-12;;;1.58000;20120412;;;;;;;;
EUR;2Y;12-apr-12;;;2.47000;20120412;;;;;;;;
EUR;3Y;12-apr-12;;;3.06000;20120412;;;;;;;;
EUR;4Y;12-apr-12;;;3.53000;20120412;;;;;;;;
EUR;5Y;12-apr-12;;;4.08000;20120412;;;;;;;;
EUR;7Y;12-apr-12;;;4.08000;20120412;;;;;;;;
EUR;10Y;12-apr-12;;;4.08000;20120412;;;;;;;;
GBP;Spot;11-apr-12;;;1.59250;20120411;;;;;;;;
GBP;1W;11-apr-12;;;0.59644;20120411;;;;;;;;
GBP;1M;11-apr-12;;;0.73819;20120411;;;;;;;;
GBP;3M;11-apr-12;;;1.05963;20120411;;;;;;;;
GBP;6M;11-apr-12;;;1.37938;20120411;;;;;;;;
GBP;9M;11-apr-12;;;1.64731;20120411;;;;;;;;
GBP;1Y;11-apr-12;;;1.88306;20120411;;;;;;;;
GBP;2Y;11-apr-12;;;1.22200;20120411;;;;;;;;
GBP;3Y;11-apr-12;;;1.27400;20120411;;;;;;;;
GBP;4Y;11-apr-12;;;1.37900;20120411;;;;;;;;
GBP;5Y;11-apr-12;;;1.53400;20120411;;;;;;;;
GBP;7Y;11-apr-12;;;1.88100;20120411;;;;;;;;
GBP;10Y;11-apr-12;;;2.36100;20120411;;;;;;;;
GBP;Spot;12-apr-12;;;1.59250;20120412;;;;;;;;
GBP;1W;12-apr-12;;;0.59644;20120412;;;;;;;;
GBP;1M;12-apr-12;;;0.73819;20120412;;;;;;;;
GBP;3M;12-apr-12;;;1.05963;20120412;;;;;;;;
GBP;6M;12-apr-12;;;1.37938;20120412;;;;;;;;
GBP;9M;12-apr-12;;;1.64731;20120412;;;;;;;;
GBP;1Y;12-apr-12;;;1.88306;20120412;;;;;;;;
GBP;2Y;12-apr-12;;;1.22200;20120412;;;;;;;;
GBP;3Y;12-apr-12;;;1.27400;20120412;;;;;;;;
GBP;4Y;12-apr-12;;;1.37900;20120412;;;;;;;;
GBP;5Y;12-apr-12;;;1.53400;20120412;;;;;;;;
GBP;7Y;12-apr-12;;;1.88100;20120412;;;;;;;;
GBP;10Y;12-apr-12;;;2.36100;20120412;;;;;;;;
USD;Spot;11-apr-12;;;1.00000;20120411;;;;;;;;
USD;1W;11-apr-12;;;0.17000;20120411;;;;;;;;
USD;1M;11-apr-12;;;0.20000;20120411;;;;;;;;
USD;3M;11-apr-12;;;0.37000;20120411;;;;;;;;
USD;6M;11-apr-12;;;0.54000;20120411;;;;;;;;
USD;9M;11-apr-12;;;0.85000;20120411;;;;;;;;
USD;1Y;11-apr-12;;;0.90000;20120411;;;;;;;;
USD;2Y;11-apr-12;;;0.90000;20120411;;;;;;;;
USD;3Y;11-apr-12;;;0.90000;20120411;;;;;;;;
USD;4Y;11-apr-12;;;0.90000;20120411;;;;;;;;
USD;5Y;11-apr-12;;;1.10000;20120411;;;;;;;;
USD;7Y;11-apr-12;;;1.55000;20120411;;;;;;;;
USD;10Y;11-apr-12;;;2.02000;20120411;;;;;;;;
USD;Spot;12-apr-12;;;1.00000;20120412;;;;;;;;
USD;1W;12-apr-12;;;0.17000;20120412;;;;;;;;
USD;1M;12-apr-12;;;0.20000;20120412;;;;;;;;
USD;3M;12-apr-12;;;0.37000;20120412;;;;;;;;
USD;6M;12-apr-12;;;0.54000;20120412;;;;;;;;
USD;9M;12-apr-12;;;0.85000;20120412;;;;;;;;
USD;1Y;12-apr-12;;;0.90000;20120412;;;;;;;;
USD;2Y;12-apr-12;;;0.90000;20120412;;;;;;;;
USD;3Y;12-apr-12;;;0.90000;20120412;;;;;;;;
USD;4Y;12-apr-12;;;0.90000;20120412;;;;;;;;
USD;5Y;12-apr-12;;;1.10000;20120412;;;;;;;;
USD;7Y;12-apr-12;;;1.55000;20120412;;;;;;;;
USD;10Y;12-apr-12;;;2.02000;20120412;;;;;;;;
CHF;Spot;11-apr-12;;;0.91450;20120411;;;;;;;;
CHF;1W;11-apr-12;;;0.04833;20120411;;;;;;;;
CHF;1M;11-apr-12;;;0.06083;20120411;;;;;;;;
CHF;3M;11-apr-12;;;0.08667;20120411;;;;;;;;
CHF;6M;11-apr-12;;;0.14333;20120411;;;;;;;;
CHF;9M;11-apr-12;;;0.23533;20120411;;;;;;;;
CHF;1Y;11-apr-12;;;0.36283;20120411;;;;;;;;
CHF;2Y;11-apr-12;;;0.09800;20120411;;;;;;;;
CHF;3Y;11-apr-12;;;0.14200;20120411;;;;;;;;
CHF;4Y;11-apr-12;;;0.24500;20120411;;;;;;;;
CHF;5Y;11-apr-12;;;0.38800;20120411;;;;;;;;
CHF;7Y;11-apr-12;;;0.69500;20120411;;;;;;;;
CHF;10Y;11-apr-12;;;1.05000;20120411;;;;;;;;
CHF;Spot;12-apr-12;;;0.91450;20120412;;;;;;;;
CHF;1W;12-apr-12;;;0.04833;20120412;;;;;;;;
CHF;1M;12-apr-12;;;0.06083;20120412;;;;;;;;
CHF;3M;12-apr-12;;;0.08667;20120412;;;;;;;;
CHF;6M;12-apr-12;;;0.14333;20120412;;;;;;;;
CHF;9M;12-apr-12;;;0.23533;20120412;;;;;;;;
CHF;1Y;12-apr-12;;;0.36283;20120412;;;;;;;;
CHF;2Y;12-apr-12;;;0.09800;20120412;;;;;;;;
CHF;3Y;12-apr-12;;;0.14200;20120412;;;;;;;;
CHF;4Y;12-apr-12;;;0.24500;20120412;;;;;;;;
CHF;5Y;12-apr-12;;;0.38800;20120412;;;;;;;;
CHF;7Y;12-apr-12;;;0.69500;20120412;;;;;;;;
CHF;10Y;12-apr-12;;;1.05000;20120412;;;;;;;;
CAD;Spot;11-apr-12;;;1.00230;20120411;;;;;;;;
CAD;1W;11-apr-12;;;1.07950;20120411;;;;;;;;
CAD;1M;11-apr-12;;;1.18800;20120411;;;;;;;;
CAD;3M;11-apr-12;;;1.38200;20120411;;;;;;;;
CAD;6M;11-apr-12;;;1.55100;20120411;;;;;;;;
CAD;9M;11-apr-12;;;1.66500;20120411;;;;;;;;
CAD;1Y;11-apr-12;;;1.89300;20120411;;;;;;;;
CAD;2Y;11-apr-12;;;1.29100;20120411;;;;;;;;
CAD;3Y;11-apr-12;;;1.40600;20120411;;;;;;;;
CAD;4Y;11-apr-12;;;1.52900;20120411;;;;;;;;
CAD;5Y;11-apr-12;;;1.65700;20120411;;;;;;;;
CAD;7Y;11-apr-12;;;1.97000;20120411;;;;;;;;
CAD;10Y;11-apr-12;;;2.35900;20120411;;;;;;;;
CAD;Spot;12-apr-12;;;1.00230;20120412;;;;;;;;
CAD;1W;12-apr-12;;;1.07950;20120412;;;;;;;;
CAD;1M;12-apr-12;;;1.18800;20120412;;;;;;;;
CAD;3M;12-apr-12;;;1.38200;20120412;;;;;;;;
CAD;6M;12-apr-12;;;1.55100;20120412;;;;;;;;
CAD;9M;12-apr-12;;;1.66500;20120412;;;;;;;;
CAD;1Y;12-apr-12;;;1.89300;20120412;;;;;;;;
CAD;2Y;12-apr-12;;;1.29100;20120412;;;;;;;;
CAD;3Y;12-apr-12;;;1.40600;20120412;;;;;;;;
CAD;4Y;12-apr-12;;;1.52900;20120412;;;;;;;;
CAD;5Y;12-apr-12;;;1.65700;20120412;;;;;;;;
CAD;7Y;12-apr-12;;;1.97000;20120412;;;;;;;;
CAD;10Y;12-apr-12;;;2.35900;20120412;;;;;;;;
AUD;Spot;11-apr-12;;;1.03145;20120411;;;;;;;;
AUD;1W;11-apr-12;;;4.40200;20120411;;;;;;;;
AUD;1M;11-apr-12;;;4.52000;20120411;;;;;;;;
AUD;3M;11-apr-12;;;4.69400;20120411;;;;;;;;
AUD;6M;11-apr-12;;;4.77400;20120411;;;;;;;;
AUD;9M;11-apr-12;;;4.86400;20120411;;;;;;;;
AUD;1Y;11-apr-12;;;4.96000;20120411;;;;;;;;
AUD;2Y;11-apr-12;;;4.19500;20120411;;;;;;;;
AUD;3Y;11-apr-12;;;4.24000;20120411;;;;;;;;
AUD;4Y;11-apr-12;;;4.43500;20120411;;;;;;;;
AUD;5Y;11-apr-12;;;4.51500;20120411;;;;;;;;
AUD;7Y;11-apr-12;;;4.66700;20120411;;;;;;;;
AUD;10Y;11-apr-12;;;4.80300;20120411;;;;;;;;
AUD;Spot;12-apr-12;;;1.03145;20120412;;;;;;;;
AUD;1W;12-apr-12;;;4.40200;20120412;;;;;;;;
AUD;1M;12-apr-12;;;4.52000;20120412;;;;;;;;
AUD;3M;12-apr-12;;;4.69400;20120412;;;;;;;;
AUD;6M;12-apr-12;;;4.77400;20120412;;;;;;;;
AUD;9M;12-apr-12;;;4.86400;20120412;;;;;;;;
AUD;1Y;12-apr-12;;;4.96000;20120412;;;;;;;;
AUD;2Y;12-apr-12;;;4.19500;20120412;;;;;;;;
AUD;3Y;12-apr-12;;;4.24000;20120412;;;;;;;;
AUD;4Y;12-apr-12;;;4.43500;20120412;;;;;;;;
AUD;5Y;12-apr-12;;;4.51500;20120412;;;;;;;;
AUD;7Y;12-apr-12;;;4.66700;20120412;;;;;;;;
AUD;10Y;12-apr-12;;;4.80300;20120412;;;;;;;;
